submission_id,participant_id,status,started_at,completed_at,reviewed_at,Archived at,time_taken,Completion code,Total approvals,Total rejections,Approval rate,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
62a48ebd42b1178d82327718,5fd3789cee06d705f5e783cc,APPROVED,2022-06-11T12:46:58.227000Z,2022-06-11T13:48:51.135000Z,2022-06-27T11:25:18.307000Z,,3713,29551DF4,173,3,98,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
62a48f3b4c5be9826b168881,610063b7b50c4e9488e77eca,APPROVED,2022-06-11T12:49:04.760000Z,2022-06-11T13:10:18.345000Z,2022-06-27T11:25:18.464000Z,,1274,29551DF4,236,3,99,23,Female,White,Poland,Poland,Poland,Polish,Yes,Part-Time
62a4937da7d086c13d8b2973,60b8b5dcb46db8ae98d0b047,APPROVED,2022-06-11T13:07:10.045000Z,2022-06-11T13:37:54.137000Z,2022-06-27T11:25:18.534000Z,,1845,29551DF4,278,0,100,25,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
62a49694009074d6eeee7bd5,5bc1c9dd9fffb200019bebe1,APPROVED,2022-06-11T13:20:20.500000Z,2022-06-11T13:43:20.539000Z,2022-06-27T11:25:12.511000Z,,1381,29551DF4,389,1,100,41,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
62a498de46cc945c976d53c6,610cda1332fb63830158c55d,APPROVED,2022-06-11T13:30:06.799000Z,2022-06-11T13:49:50.883000Z,2022-06-27T11:25:12.649000Z,,1185,29551DF4,409,0,100,20,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
62a49c638313cdd69986f192,5b8c8e7d0c740e00019d55c3,APPROVED,2022-06-11T13:45:08.415000Z,2022-06-11T14:06:39.119000Z,2022-06-27T11:25:12.718000Z,,1291,29551DF4,956,5,100,36,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,Full-Time
62a49c642fd1ee81d231362c,60f02e0e88e928ae017e919c,APPROVED,2022-06-11T13:46:22.436000Z,2022-06-11T14:03:11.001000Z,2022-06-27T11:25:12.916000Z,,1009,29551DF4,86,1,100,19,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
62a49c64f6ce096b425e3b43,611bb2a6d9678117db737236,APPROVED,2022-06-11T13:45:11.531000Z,2022-06-11T14:21:11.888000Z,2022-06-27T11:25:12.985000Z,,2161,29551DF4,260,3,99,23,Male,White,Spain,Spain,Spain,Catalan,No,Due to start a new job within the next month
62a49c64ff9166a4ea741843,612376826a580ca0368bb19f,APPROVED,2022-06-11T13:45:12.460000Z,2022-06-11T14:32:55.771000Z,2022-06-27T11:25:12.784000Z,,2864,29551DF4,328,1,100,25,Male,Black,Zimbabwe,South Africa,Zimbabwe,English,Yes,Part-Time
62a49c653e1b9512613a2fc0,5e7cb947659c7606131b5257,APPROVED,2022-06-11T13:45:09.675000Z,2022-06-11T14:23:13.655000Z,2022-06-27T11:25:13.080000Z,,2284,29551DF4,25,0,100,24,Male,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
