,part_idx,participant,mean_accuracy,inters_real,int_range,int_length,scenario,accuracy,difficulty
40,40,5ecb1505f9688367eddcc652,0.898190468582517,11.6,60.05172413793103,0.7620689655172415,crime,0.9221501055838477,1
41,41,5ed3b2b3397ebb01e2c64923,0.7590462068390573,2.4,49.916666666666664,1.2166666666666666,crime,0.798380540363622,1
42,42,5ed9111a0e4140448926fcd4,0.8322511164514037,6.0,86.43333333333334,5.2266666666666675,crime,0.7857142857142857,1
43,43,5ee29b48f876547924af1c69,0.9085371150269417,7.8,52.717948717948715,4.517948717948719,crime,0.7951633774003244,2
44,44,5eeb40268b898027a055bfa3,0.9327691573498958,7.0,129.85714285714286,4.565714285714285,crime,0.8643353105061596,2
45,45,5ef89a0c27c8ea5e88ff92a5,0.9224231381258887,5.4,142.66666666666666,5.385185185185185,crime,0.8921672267965616,2
46,46,5f059570e74e9a0296628aeb,0.8921109390863687,11.0,71.81818181818181,3.08,crime,0.8198125074608882,1
47,47,5f149b7dab1b5e096ca4f39e,0.8581120116651118,7.8,56.17948717948718,0.5538461538461541,crime,0.8327515979985818,2
48,48,5f1ff0f7027b2823badd501b,0.9495162053148594,5.2,87.42307692307692,4.538461538461538,crime,0.9163757989992909,1
49,49,5f39653865d6044d868f1bd1,0.8405796260771886,7.2,109.47222222222223,3.677777777777779,crime,1.0,1
50,50,5f4bf2e84e8b086d12006ddc,0.935641850292043,8.2,112.6829268292683,2.921951219512195,crime,0.8443002111676954,1
51,51,5f57d2c5f35d4a2e440a4bad,0.9130192100362517,6.8,125.55882352941177,5.3999999999999995,crime,1.0,1
52,52,5f5aa6d5b8e6411a69e274d5,0.9215529093908416,10.8,90.55555555555556,3.7777777777777777,crime,0.8960249510179927,1
53,53,5f5e2b126352f0691ad71e33,0.7601347734353341,10.4,75.46153846153847,4.303846153846154,crime,0.6438690292986541,2
54,54,5f7644463bf0b60ced3a6757,0.835327425293445,8.0,131.925,4.779999999999999,crime,0.8377785788692375,2
55,55,5f7694edc99f3112b494e122,0.7291189112133674,5.6,84.53571428571429,1.7857142857142858,crime,0.6743305263605353,1
56,56,5f83c8f31854ab56a1f68bea,0.8674049501110639,8.0,121.4,4.659999999999999,crime,0.91695452014626,2
57,57,5f93fecc66720e1e31e43464,0.7513692113467807,5.2,114.53846153846153,3.838461538461538,crime,1.0,2
58,58,5fad5859d0c7c602ce4d46db,0.8818160446769753,8.6,96.69767441860465,2.502325581395349,crime,0.7690598923241496,1
59,59,5fae721319e73f2ff0c6605a,0.6635284744028741,8.2,89.07317073170732,1.7999999999999998,crime,0.9282041841382261,1
60,60,5fd3789cee06d705f5e783cc,0.7171734873576477,4.0,64.8,4.64,crime,0.6734013676289096,2
61,61,5fd8d828c853592bc565d160,0.8410892401072789,6.4,62.5625,5.64375,crime,0.8541350085021054,2
62,62,6017acc5665c42a2ae18dc42,0.7984040807367428,7.0,155.5142857142857,4.44,crime,0.8724846573873324,2
63,63,601903cdcd7cd6213bf60d64,0.834290259265666,10.0,108.18,3.3280000000000003,crime,0.6606601774746808,2
64,64,6019bdc7141cd215ad62fd91,0.8998031067059096,5.0,92.32,3.96,crime,0.8927887465162205,1
65,65,603e80821e9e5ed5aa62a889,0.8861666780268411,9.0,109.57777777777778,2.96,crime,0.8423779187521798,1
66,66,604a3f554e0e49706d1e3dca,0.8879874886816381,8.8,88.38636363636364,3.909090909090909,crime,1.0,1
67,67,605b98c83da1ded576bcf096,0.8772121483365485,7.8,94.71794871794872,1.969230769230769,crime,0.8651600275073517,1
68,68,607720d63363a7f7681aca7b,0.8958837859380948,7.4,63.86486486486486,3.2108108108108104,crime,0.8143046618229481,1
69,69,607ef0b00dba56a5a84bcc96,0.8609546243405584,7.0,100.71428571428571,2.365714285714286,crime,0.7937157507482413,1
70,70,6082f7e90a6e0ea1f8c6d7cb,0.8870667791670137,8.2,123.1951219512195,3.590243902439025,crime,0.8433479100024085,2
71,71,60b8b5dcb46db8ae98d0b047,0.7843117397388744,8.2,76.60975609756098,0.7853658536585366,crime,0.6545753601461213,1
72,72,60d0c9c5ee2b2dc08edb7f01,0.8712840146906636,11.0,54.236363636363635,2.5381818181818185,crime,0.8259223440443022,1
73,73,60d5f605483d5fe184fcaad8,0.8717303527287756,9.2,71.19565217391305,4.147826086956522,crime,0.7705842661294382,2
74,74,60d9a60a626e5d9fce67d7b2,0.9015532794744658,7.0,106.65714285714286,3.8,crime,0.8852921330647191,2
75,75,60e300f65d7edf36d98b2880,0.7851173835330846,7.6,116.8157894736842,2.3947368421052637,crime,0.7664503167515431,2
76,76,60eb20d523c5349e4f7753cc,0.6731021032415934,3.4,87.94117647058823,0.6235294117647059,crime,0.6170291568974647,1
77,77,60eccd4d9b4a0c1f4ab919a4,0.9019563552306279,5.6,103.92857142857143,2.849999999999999,crime,0.8852921330647191,1
78,78,60eee201a7ffc5b0e034e73e,0.7905278835116908,6.4,117.71875,3.00625,crime,1.0,1
79,79,60f02e0e88e928ae017e919c,0.8967231647236492,12.4,97.80645161290323,2.170967741935484,crime,0.8564083682764524,2
80,80,60f1ce9c530c91c0a6e9dab0,0.7384968913965627,5.8,62.827586206896555,2.4,crime,0.8367006838144548,2
81,81,60f3d8fe0f2cf8ee0180546b,0.729370224200235,6.0,146.46666666666667,4.926666666666666,crime,0.9319586182560229,2
82,82,60f47d6edc0a9f0f80bca456,0.6386993383429044,6.0,88.73333333333333,4.526666666666667,crime,0.5632831014438118,2
83,83,60f6f802c0ede08f7cf69720,0.7776629753366423,3.2,26.4375,0.7375,crime,0.8438262381113939,2
84,84,60f88d7fef1959734061e5a7,0.8589135898583269,14.2,53.478873239436616,0.9070422535211269,crime,0.886039423540362,2
