,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
71,71,605641bb59792eaba4b3abe5,0.8062275180320808,21.027966666666668,10.5,88.76190476190476,2.6999999999999997,crime,0.8927887465162205,1.0
72,72,60589194fbc0330c06ddc15c,0.8631310189825927,38.514649999999996,8.25,52.54545454545455,2.018181818181818,crime,0.8769085090206673,2.0
73,73,606340ca7faac7025f31dd57,0.7651413994896499,29.9277,7.0,133.28571428571428,4.628571428571427,crime,0.8756459991565483,1.0
74,74,606451b5aab2ec4afaae10f4,0.6727241865161271,37.61605,6.0,90.625,2.7166666666666663,crime,0.8248576389739852,1.0
75,75,606c6e255a5575b822e0e925,0.8005449416021782,41.096199999999996,1.0,60.0,0.8500000000000001,crime,0.8438262381113939,1.0
76,76,6086bce92a8e1c219a9120c5,0.8836578091392842,45.79248333333333,6.0,114.91666666666667,3.6666666666666665,crime,1.0,2.0
77,77,6089cd0a1c1541c29bb34c73,0.8551962734914176,27.927266666666664,9.25,94.21621621621621,2.2270270270270274,crime,0.8367006838144548,1.0
78,78,608c9c26b741d7214882fee6,0.9177802950280374,64.11725,7.0,60.142857142857146,5.578571428571428,crime,0.9098330365332568,2.0
79,79,60979b540a2cf2468fde514b,0.8590567925691397,28.17168333333333,9.75,146.30769230769232,3.8051282051282054,crime,0.7454124613913422,2.0
80,80,6099132b6d152b812fdc911c,0.87711418823442,16.882366666666666,9.5,114.0,3.78421052631579,crime,0.8984653834866381,2.0
81,81,60a37b4e514b606e0a822a0c,0.6854508656052147,29.720399999999998,5.0,129.45,4.339999999999999,crime,0.5058481543982376,1.0
82,82,60a6ba026f8bd75b67b23c97,0.8165297041411931,32.26113333333333,6.0,75.75,5.625,crime,0.919417703597462,2.0
83,83,60a7d7b70d3cf8f48a8a490d,0.8650698750630468,21.179883333333333,7.75,101.3225806451613,4.509677419354839,crime,0.8643353105061596,2.0
84,84,60aa4b9356c591511cc09f5f,0.7188779234243239,31.743716666666668,6.25,71.52,3.0640000000000005,crime,0.7005752641918288,1.0
85,85,60b56ada17663c9fdcb74bdd,0.7827201296721067,33.025816666666664,5.5,158.86363636363637,7.09090909090909,crime,0.886039423540362,1.0
86,86,60c048ca962103e0da201a34,0.6535396602558712,33.21646666666667,6.0,125.875,6.5,crime,0.6518446880886043,1.0
87,87,60c0ed7d2fbe3e53bca9866a,0.8530523230805485,23.995083333333334,8.75,102.14285714285714,3.257142857142857,crime,0.8817375208021835,2.0
88,88,60ccdd2c461e041ac1dc2b41,0.8617152381179869,20.531183333333335,5.25,141.8095238095238,4.419047619047619,crime,1.0,2.0
89,89,60d2f9397932f9695f49f5f4,0.7345025001458655,59.8431,8.25,43.333333333333336,1.4606060606060605,crime,0.8634952734420129,2.0
90,90,60d3acd071e98de7a42743ac,0.6895070108447339,38.16703333333333,11.75,63.723404255319146,1.8170212765957447,crime,0.9264785377906193,2.0
91,91,60d6e2dd110d9cbe0c20bbc7,0.818572747157081,22.2595,5.25,109.28571428571429,1.828571428571428,crime,0.8475014296673953,1.0
92,92,60db521470b51a50415d3439,0.8196733064145316,39.56558333333333,8.5,50.11764705882353,3.911764705882353,crime,0.9157848078933482,1.0
93,93,60ddfb3db6a71ad9ba75e387,0.8017535905759401,32.23245,6.75,86.03703703703704,4.503703703703704,crime,0.7418011102528389,1.0
